MONTOYA_AL,	21,	1153,	3.17,	2.39,	57.0,	92.14,	2.67,	2.52,	-1;
NEUVIRTH_MICHAL,	47,	2624,	2.83,	2.49,	53.2,	91.29,	2.68,	2.65,	-1;
NIEMI_ANTTI,	60,	3523,	2.86,	2.38,	54.5,	91.96,	2.78,	2.53,	-1;
NIITTYMAKI_ANTERO,	24,	1414,	2.84,	2.67,	51.5,	89.74,	2.65,	2.79,	-1;
OSGOOD_CHRIS,	11,	628,	3.25,	2.77,	54.0,	90.27,	2.57,	2.65,	-1;
PAVELEC_ONDREJ,	58,	3223,	2.46,	2.70,	47.6,	91.47,	2.72,	2.57,	-1;
PETERS_JUSTIN,	12,	648,	2.41,	3.98,	37.7,	87.43,	2.70,	2.49,	-1;
POULIN_KEVIN,	10,	491,	3.05,	2.44,	55.6,	92.37,	2.57,	2.70,	-1;
PRICE_CAREY,	72,	4206,	2.45,	2.33,	51.3,	92.39,	2.75,	2.59,	-1;
QUICK_JONATHAN,	61,	3590,	2.39,	2.24,	51.6,	91.78,	2.83,	2.67,	-1;
RASK_TUUKKA,	29,	1594,	2.56,	2.63,	49.3,	91.91,	2.65,	2.63,	-1;
RAYCROFT_ANDREW,	19,	847,	2.48,	2.83,	46.7,	91.03,	2.82,	2.56,	-1;
REIMER_JAMES,	37,	2080,	3.00,	2.60,	53.6,	92.06,	2.75,	2.58,	-1;
RINNE_PEKKA,	64,	3789,	2.38,	2.11,	53.0,	93.01,	2.80,	2.69,	-1;
ROLOSON_DWAYNE,	54,	3198,	2.44,	2.55,	48.9,	91.46,	2.67,	2.59,	-1;
SCHNEIDER_CORY,	25,	1371,	3.41,	2.23,	60.5,	92.85,	2.71,	2.72,	-1;
SMITH_MIKE,	22,	1202,	2.89,	2.89,	50.0,	89.93,	2.76,	2.57,	-1;
THEODORE_JOSE,	32,	1792,	2.34,	2.71,	46.4,	91.59,	2.75,	2.61,	-1;
THOMAS_TIM,	57,	3363,	3.09,	1.98,	60.9,	93.86,	2.72,	2.58,	1;
TURCO_MARTY,	30,	1629,	3.02,	3.02,	50.0,	89.72,	2.70,	2.60,	-1;
VARLAMOV_SEMYON,	27,	1560,	2.08,	2.23,	48.2,	92.35,	2.80,	2.59,	-1;
VOKOUN_TOMAS,	57,	3223,	2.33,	2.55,	47.7,	92.18,	2.75,	2.60,	-1;
WARD_CAM,	73,	4238,	2.76,	2.55,	52.0,	92.29,	2.66,	2.59,	-1;
ANDERSON_CRAIG,	63,	3492,	2.92,	2.82,	50.9,	91.44,	2.66,	2.62,	-1;
AULD_ALEX,	14,	645,	2.60,	3.35,	43.8,	88.39,	2.78,	2.43,	-1;
BACHMAN_RICHARD,	18,	928,	2.78,	2.78,	50.0,	90.91,	2.67,	2.43,	-1;
BACKSTROM_NIKLAS,	46,	2589,	1.92,	2.43,	44.1,	91.91,	2.58,	2.62,	-1;
BERNIER_JONATHAN,	16,	890,	2.22,	2.36,	48.5,	90.86,	2.53,	2.52,	-1;
BIRON_MARTIN,	21,	1220,	2.80,	2.41,	53.8,	90.54,	2.71,	2.69,	-1;
BISHOP_BEN,	10,	531,	2.82,	2.48,	53.2,	90.95,	2.69,	2.58,	-1;
BOBROVSKY_SERGEI,	29,	1550,	3.17,	2.98,	51.6,	89.96,	2.74,	2.59,	-1;
BOUCHER_BRIAN,	10,	546,	1.65,	3.40,	32.6,	88.08,	2.71,	2.59,	-1;
BRODEUR_MARTIN,	59,	3387,	2.43,	2.41,	50.2,	90.74,	2.76,	2.61,	-1;
BRYZGALOV_ILYA,	59,	3415,	3.04,	2.46,	55.3,	90.98,	2.67,	2.57,	-1;
BUDAJ_PETER,	17,	1036,	2.26,	2.49,	47.6,	91.50,	2.71,	2.69,	-1;
CLEMMENSEN_SCOTT,	30,	1565,	2.38,	2.57,	48.1,	91.33,	2.74,	2.53,	-1;
CONKLIN_TY,	15,	804,	2.46,	3.28,	42.9,	88.33,	2.49,	2.66,	-1;
CRAWFORD_COREY,	57,	3218,	2.78,	2.72,	50.5,	90.30,	2.60,	2.44,	-1;
DESLAURIERS_JEFF,	4,	241,	3.23,	2.74,	54.2,	90.27,	2.57,	2.44,	-1;
DIPIETRO_RICK,	7,	353,	3.22,	3.73,	46.3,	87.57,	2.72,	2.58,	-1;
DUBNYK_DEVAN,	47,	2653,	2.62,	2.65,	49.8,	91.50,	2.61,	2.50,	-1;
ELLIOTT_BRIAN,	38,	2214,	2.33,	1.57,	59.7,	94.00,	2.78,	2.48,	-1;
ELLIS_DAN,	10,	418,	2.29,	2.72,	45.7,	91.12,	2.56,	2.47,	-1;
EMERY_RAY,	34,	1773,	2.88,	2.81,	50.6,	90.05,	2.55,	2.46,	-1;
ENROTH_JHONAS,	26,	1399,	2.27,	2.66,	46.1,	91.79,	2.79,	2.63,	-1;
FLEURY_MARC-ANDRE,	67,	3891,	3.25,	2.33,	58.3,	91.43,	2.68,	2.51,	-1;
GARON_MATHIEU,	48,	2483,	2.71,	2.85,	48.7,	90.09,	2.60,	2.54,	-1;
GIGUERE_JEAN-SEBASTIEN,	32,	1819,	2.31,	2.27,	50.4,	91.88,	2.59,	2.52,	-1;
GREISS_THOMAS,	19,	1042,	2.82,	2.30,	55.1,	91.53,	2.48,	2.57,	-1;
GUSTAVSSON_JONAS,	42,	2300,	2.90,	2.90,	50.0,	90.31,	2.71,	2.54,	-1;
HACKETT_MATT,	12,	535,	1.34,	2.46,	35.3,	91.91,	2.53,	2.46,	-1;
HALAK_JAROSLAV,	46,	2746,	2.53,	1.97,	56.3,	92.57,	2.56,	2.59,	-1;
HARDING_JOSH,	34,	1849,	1.91,	2.63,	42.1,	91.73,	2.69,	2.38,	-1;
